en_us	pt_BR
You Know My Name	You Know My Name (Você Sabe O Meu Nome)
If you take a life do you know what you'll give?.	Se você quer uma vida, o que você vai dar?.
Odds are, you won't like what it is.	É estranho, você não vai gostar disso.
When the storm arrives, would you be seen with me?.	Quando a tempestade chegar, você seria vista comigo?.
By the merciless eyes I've deceived.	Pelos olhos desumanos que tenho enganado.
I've seen angels fall from blinding heights.	Tenho visto anjos caírem de grandes alturas.
But you yourself are nothing so divine.	Mas você mesma não é tão divina.
Just next in line.	Só a próxima da fila.
Arm yourself because no-one else here will save you.	Arme-se porque ninguém mais vai salvá-la.
The odds will betray you.	O estranho vai traí-la.
And I will replace you.	E eu irei substituí-la.
You can't deny the prize it may never fulfill you.	Você não pode negar o preço talvez nunca lhe satisfaça.
It longs to kill you.	Ele anseia matá-la.
Are you willing to die?.	Você deseja morrer?.
The coldest blood runs through my veins.	O sangue mais frio corre nas minhas veias.
You know my name.	Você sabe o meu nome.
If you come inside things will not be the same.	Se você vir aqui as coisas não serão as mesmas.
When you return to the night.	Quando você retornar à noite.
And if you think you've won.	E se você pensa que ganhou.
You never saw me change.	Você nunca me viu mudar.
The game that we have been playing.	O jogo que temos jogado.
I've seen diamonds cut through harder men.	Tenho visto cortes de diamantes nos homens mais duros (difíceis).
Than you yourself.	Do que em você.
But if you must pretend.	Mas se você quer fingir.
You may meet your end.	Você poderá encontrar o seu fim.
Arm yourself because no-one else here will save you.	Arme-se porque ninguém mais vai salvá-la.
The odds will betray you.	O estranho vai traí-la.
And I will replace you.	E eu irei substituí-la.
You can't deny the prize it may never fulfill you.	Você não pode negar o preço talvez nunca lhe satisfaça.
It longs to kill you.	Ele anseia matá-la.
Are you willing to die?.	Você deseja morrer?.
The coldest blood runs through my veins.	O sangue mais frio corre nas minhas veias.
Try to hide your hand.	Tente esconder sua mão.
Forget how to feel.	Esqueça como sentir.
(Forget how to feel).	(Esqueça como sentir).
Life is gone with just a spin of the wheel.	A vida se vai numa volta de uma roda.
(Spin of the wheel).	(Volta de uma roda).
Arm yourself because no-one else here will save you.	Arme-se porque ninguém mais vai salvá-la.
The odds will betray you.	O estranho vai traí-la.
And I will replace you.	E eu irei substituí-la.
You can't deny the prize it may never fulfill you.	Você não pode negar o preço talvez nunca lhe satisfaça.
It longs to kill you.	Ele anseia matá-la.
Are you ready to die?.	Você está pronta pra morrer?.
The coldest blood runs through my veins.	O sangue mais frio corre nas minhas veias.
You know my name.	Você sabe o meu nome.
(You know my name).	(Você sabe o meu nome).
You know my name.	Você sabe o meu nome.
(You know my name).	(você sabe o meu nome).
You know my name!.	você sabe o meu nome!.
You know my name!.	você sabe o meu nome!.
You know my name!.	você sabe o meu nome!.
Your Savior	SEU SALVADOR
People like you, I know myself.	Pessoas como você, eu me conheço.
Walk in the shoes of somebody else.	Andar nos sapatos de alguém.
Whisper to me, my tragic fate.	Sussurre para mim, meu trágico destino.
Whisper to me, my tragic end.	Sussurre para mim, meu trágico fim.
But don't give me your savior.	Mas não me dê seu salvador.
But don't give me your savior.	Mas não me dê seu salvador.
Say hey.	"Diga ""hey""."
People I choose, life on my own.	Pessoas que eu escolho, a vida por mim mesmo.
Burn me your fuse, throw me your stones.	Queime-me seu fusível, jogue-me suas pedras.
Give me your brand, burn on my hand.	Dê-me o seu estigma, queime na minha mão.
Whisper to me, my tragic end.	Sussurre para mim, meu trágico fim.
But don't give me your savior.	Mas não me dê seu salvador.
But don't give me your savior.	Mas não me dê seu salvador.
hey.	Hey.
People I choose, I know myself.	Pessoas que eu escolho, eu me conheço.
Lay my need out, give you my help.	Coloque minha necessidade para fora, te dar minha ajuda.
But you give me your blues.	Mas me dê suas tristezas.
And you whisper my fate.	E você sussurre meu destino.
But don't give.	Mas não dê.
But don't give me your savior.	Não me dê seu salvador.
But don´t give me.	Mas não me dê.
But don´t give me.	Mas não me dê.
Your Time Has Come	A Sua Hora Chegou
Now one fell asleep in the street.	Agora, alguém adormeceu na rua.
And he never woke up.	E nunca acordou.
And now one died in pieces.	E agora, alguém morreu em sua cama.
Whose been with a mouthful of ghosts.	Com um sorriso dourado.
And one threatning long ago I saw him.	E alguém me ameaçou quando eu o vi.
Melt in the bright of day.	Derretendo sob a luz do sol.
And one laid to rest in the field.	E alguém deitou para descansar.
Under starlings and crows, hey.	Em um campo com pardais e corvos, hey.
I've been wandering sideways.	Eu tenho me mantido á distância.
I've stared straight into the sun.	Eu olhei direto para o sol.
Still, I don't know why you're dying.	Ainda assim, eu não entendo porque você está morrendo.
Long before your time has come.	Bem antes de sua hora chegar.
Your time has come.	Antes de sua hora chegar.
Now one took some bullets to the chest in a deal gone wrong.	Agora, alguém levou tiros no peito por um negócio que falhou.
One got a little too depressed then he went and jumped the gun.	Alguém ficou um pouco deprimido então largou a arma.
One got shot right in the face and he somehow survived.	Alguém levou um tiro no rosto e de alguma forma sobreviveu.
But he doesn't know my name or who I am.	Mas ele não sabe o meu nome ou quem eu sou.
And I'm not surprised, hey.	E eu não estou surpreso, hey.
I've been wandering sideways.	Eu tenho me mantido á distância.
I've stared straight into the sun.	Eu olhei direto para o sol.
Still, I don't know why you're dying.	Ainda assim, eu não entendo porque você está morrendo.
Long before your time has come.	Bem antes de sua hora chegar.
Yeah I've been wandering sideways.	Yeah eu tenho me mantido á distância.
I've stared straight into the sun.	Eu olhei direto para o sol.
Still I don't know why you're dying.	Ainda assim, eu não entendo porque você está morrendo.
Long before your time has come.	Bem antes de sua hora chegar.
Your time has come, hey.	Antes de sua hora chegar, hey.
I've seen fifty thousand names all engraved on a stone.	Eu vi 50.000 nomes gravados em uma lápide.
Most of them, met 'em at a grave years before I was born.	A maioria deles morreram antes de eu nascer.
All of them left brothers and sisters and mothers behind.	Todos eles deixaram irmãos, irmãs e mães para trás.
And most of their family and friends are alive.	E a maioria de seus familiares e amigos.
Everytime.	Ainda estão vivos e cumprindo sentença.
I've been wandering sideways.	Eu tenho me mantido á distância.
I've stared straight into the sun.	Eu olhei direto para o sol.
And I don't know why you're dying.	Ainda assim, eu não entendo porque você está morrendo.
Long before your time has come.	Bem antes de sua hora chegar.
Yeah I've been wandering sideways.	Yeah eu tenho me mantido á distância.
I've stared straight into the sun.	Eu olhei direto para o sol.
And I don't know why you're dying.	Ainda assim, eu não entendo porque você está morrendo.
Long before your time has come.	Bem antes de sua hora chegar.
Your time has come.	Antes de sua hora chegar.
-	-
I saw you dancin'.	Eu vi você dançando.
You moved like Sinatra.	Você se moveu como Sinatra.
On speed.	Na velocidade.
Lights were a flashin'.	As luzes estavam brilhando.
And tongues were a waggin'.	E as línguas eram uma sacudida.
Over you.	Sobre você.
It's too late, for trying.	É tarde demais, por tentar.
Too late, for denying.	Tarde demais, por negar.
All those little things.	Todas essas coisinhas.
You and me have done.	Você e eu fizemos.
I'm sorry hun', I was hoping.	Desculpe hun ', eu estava esperando.
For a recall.	Para um recall.
Mix of you high from the sun.	Mistura de você alta do sol.
Ah but nothing.	Ah mas nada.
Only lone magpies come.	Apenas as pegas solitárias vêm.
I saw you dancin'.	Eu vi você dançando.
You moved like Sinatra.	Você se moveu como Sinatra.
On speed.	Na velocidade.
2013	2013
Well the times are so a'changing.	Bem, os tempos estão mudando.
Baby even when it's live.	Baby, mesmo quando é ao vivo.
You can press pause and rewind.	Você pode pressionar o pause e o rebobinar.
You knew it would go amazing.	Você sabia que isso tinha que ser incrível.
But is this what you had in mind?.	Mas era isso que você tinha em mente?.
Oh there's nothing you can't find.	Oh, não há nada que você possa encontrar.
It's two thousand and thirteen.	São dois mil e treze.
All across the galaxy.	Por toda a galáxia.
It's two thousand and thirteen.	São dois mil e treze.
(Yeah).	(Yeah).
On the back of a transmitter.	Sob o preto do seu transmissor.
There's a little shiny fruit.	Há uma pequena fruta brilhante.
And it's coming after you.	E está vindo atrás de você.
As for Instagram and Twitter.	Quanto ao Instagram e o Twitter.
She got caught in both lassoes.	Ela ficou presa em ambas atividades.
And neither one will cut her loose.	E nenhuma vai cortar o seu tédio.
It's two thousand and thirteen.	São dois mil e treze.
All across the galaxy.	Por toda a galáxia.
It's two thousand and thirteen.	São dois mil e treze.
(Yeah) Yeah.	(Yeah) Yeah.
So baby take a walk with me.	Então, baby, passeie comigo.
Past flying cars and time machines.	Últimos carros voadores e máquinas de tempo.
There's magic like you won't believe, no.	Há magia como você não vai acreditar, não.
It's two thousand and thirteen.	São dois mil e treze.
All across the galaxy.	Em toda a galáxia.
It's two thousand and thirteen.	São dois mil e treze.
All across the galaxy.	Em toda a galáxia.
505	505
I'm going back to 505.	Estou voltando para o 505.
If it's a seven hour flight.	Se for um voo de 7 horas.
Or a forty-five minute drive.	Ou 45 minutos dirigindo.
In my imagination.	Em minha imaginação.
You're waiting lying on your side.	Você está esperando, deitada de lado.
With your hands between your thighs.	Com as mãos entre as pernas.
Stop and wait a sec.	Pare e espere um segundo.
When you look at me like that.	Quando você olha para mim assim.
My darling, what did you expect?.	Minha querida, o que você esperava?.
I'd probably still adore you.	Eu provavelmente ainda te adoraria.
With your hands around my neck.	Com suas mãos em volta do meu pescoço.
Or I did last time I checked.	Ou adorei da última vez que chequei.
I'm not shy of a spark.	Eu não sou uma faísca tímida.
The knife twists at the thought.	A faca gira ao pensar.
That I should fall short of the mark.	De que eu devia cair perto da marca.
Frightened by the bite.	Assustado pela mordida.
No, it's no harsher than the bark.	Não, ela não é pior que o latido.
A middle of adventure.	No meio de uma aventura.
Such a perfect place to start.	Um lugar tão perfeito pra começar.
I'm going back to 505.	Eu estou voltando para o 505.
If it's a seven hour flight.	Se for um voo de 7 horas.
Or a forty-five minute drive.	Ou 45 minutos dirigindo.
In my imagination.	Em minha imaginação.
You're waiting lying on your side.	Você está esperando deitada de lado.
With your hands between your thighs.	Com as mãos entre as pernas.
But I crumble completely when you cry.	Mas eu desmorono completamente quando você chora.
It seems like once again you've had to greet me with goodbye.	Parece que mais uma vez você teve que me cumprimentar com um adeus.
I'm always just about to go and spoil the surprise.	Eu estou sempre a ponto de acabar com a surpresa.
Take my hands off of your eyes too soon.	Tiro minhas mãos dos seus olhos cedo demais.
I'm going back to 505.	Eu estou voltando para o 505.
If it's a seven hour flight or a forty-five minute drive.	Se for um voo de 7 horas ou 45 minutos dirigindo.
In my imagination, you're waiting lying on your side.	Em minha imaginação, você está esperando deitada de lado.
With your hands between your thighs.	Com suas mãos entre as pernas.
And a smile.	E um sorriso.
7	7
Well I wrote my number down.	Bem eu escrevi meu número.
Never wrote it down before.	Nunca o havia escrito antes.
Was gonna bring it over like something from a film.	Iria trazê-lo como algo tirado de um filme.
But I didn't have the bottle at all.	Mas eu não tinha a garrafa de qualquer forma.
Well I'm looking and you kept staring.	Bem, estou olhando e você continua encarando.
Your thoughts bearing up with mine.	Seus pensamentos resistindo com os meus.
And when you're so pretty and I'm so shy.	E quando você está tão linda eu sou tão tímido.
You probably didn't give me the eye but I'm sure you did.	Você provavelmente não me deu um olhar mas tenho certeza que sim.
Well I went outside.	Bem eu fui lá fora.
Couldn't say I tried.	Não poderia dizer que tentei.
And I felt regret.	E eu me senti arrependido.
Because you haven't bashed me and dashed back in.	Porque você me criticou e fugiu para dentro.
Cause the ship hasn't sailed yet.	Pois o navio ainda não havia desembocado ainda.
But when I did I couldn't see your face.	Mas quando eu fui eu não pude ver seu rosto.
I could see your mates but that wouldn't do.	Eu podia ver seus colegas mas isso não faria.
Well I dashed around, tried to find you.	Bem, eu corri em volta, tentei te procurar.
But you were, nowhere to be seen.	Mas você não estava em lugar nenhum que eu visse.
Oh, no, no.	Oh, não, não.
Well she moved in ways, that kept her there.	Bem ela se mudou de forma, que a mantém aquí.
In our minds for days.	Em nossas mentes por dias.
And weeks and months.	E semanas e meses.
I was that amazed.	Eu estava encantado deste jeito.
And there she stayed.	E lá ela ficou.
Surrounded by the what if's and the maybe's.	Cercada pelos se's e os talvez.
A Certain Romance	Um Certo Romance
Well oh they might wear classic reeboks.	Bem, eles podem usar seus Reeboks clássicos.
Or knackered converse, or tracky bottoms tucked in socks.	Ou seus all-star acabados, ou calças largas enfiadas nas meias.
But all of that's what the point is not.	Mas tudo isso não é a questão.
The point's that there ain't no romance around there.	A questão é que não existe mais romance por ali.
And there's the truth that they can't see.	E tem a verdade que eles não conseguem ver.
They'd probably like to throw a punch at me.	Eles provavelmente gostariam de me dar um soco.
And if you could only see them, then you would agree.	E se você pudesse vê-los, você concordaria.
Agree that there ain't no romance around there.	Concordaria que não existe mais romance por ali.
You know, oh, it's a funny thing, you know?.	Você sabe, oh, é uma coisa engraçada, sabe?.
We'll tell 'em if you like.	Contaremos para eles se você quiser.
We'll tell 'em all tonight.	Contaremos tudo para eles essa noite.
They'll never listen.	Eles nunca vão ouvir.
Because their minds are made up.	Porque suas mentes já estão feitas.
And course it's all okay to carry on that way.	E claro que está bem continuar nesse caminho.
Is over there there's broken bones.	E por ali têm ossos quebrados.
There's only music, so that there's new ringtones.	Só existe música, para que existam novos ringtones.
And it don't take no sherlock holmes.	E não é preciso ser nenhum Sherlock Holmes.
To see it's a little different around here.	Para ver que é um pouco diferente por aqui.
Don't get me wrong, oh there's boys in bands.	Não me entenda mal, oh existem garotos em bandas.
And kids who like to scrap with pool cues in their hands.	E crianças que gostam de brigar com tacos de sinuca nas mãos.
And just cause he's had a coupla cans.	E só por que ele tomou um par de latas.
He thinks it's alright to act like a dickhead.	Ele acha que está tudo bem agir como um idiota.
Don't you know, oh, it's a funny thing, you know?.	Você sabe, oh, é uma coisa engraçada, você sabe?.
We'll tell em if you like.	Contaremos para eles se você quiser.
We'll tell em all tonight.	Contaremos tudo para eles essa noite.
They'll never listen.	Eles nunca vão ouvir.
Because their minds are made up.	Porque suas mentes já estão feitas.
And course it's all okay to carry on that way.	E claro que está tudo bem levar por esse caminho.
I said no.	Eu disse não.
Oh, no!.	Oh, não!.
Well, oh, you won't get me to go!.	Bom, oh, você não vai conseguir que eu vá!.
Not anywhere, not anywhere.	Para lugar nenhum, lugar nenhum.
No, I won't go.	Não, eu não vou.
Oh, no, no!.	Oh, não, não!.
Well over there there's friends of mine.	Bem, ali estão amigos meus.
What can I say? I've known 'em for a long long time.	O que eu posso dizer? Eu conheço eles há muito, muito tempo.
And they might overstep the line.	E eles podem passar dos limites.
But you just cannot get angry in the same way.	Mas você simplesmente não pode ficar bravo do mesmo jeito.
No not in the same way.	Não do mesmo jeito.
So not in the same way.	Não do mesmo jeito.
Oh, no, oh, no, no.	Oh, não, oh, não, não.
All My Own Stunts	Todas As Minhas Façanhas
Caricatures of your wrecking ball gown, in my mind.	Caricaturas de seu vestido de formatura destruído, na minha mente.
All the time.	O tempo todo.
I wanna be in that, damsel patterned alley.	Eu quero estar naquele beco de donzelas.
Where you go, for a smoke.	Aonde você vai para fumar.
And sorrow slow dances.	O sofrimento dança devagar.
The phones are lighting up.	Os telefones estão acendendo.
Taking no chances.	Sem se arriscar.
Close but never close enough.	Perto, mas nunca perto o bastante.
Been watching cowboy films, on gloomy afternoons.	Estive assistindo filmes de cowboys, em tardes melancólicas.
Tinting the solitude.	Tingindo a solidão.
Put on your dancing shoes.	Coloque seus sapatos de dança.
And show me what to do..	E mostrar-me o que fazer..
I know you've got the moves.	Eu sei que você tem os movimentos.
All my own stunts.	Todas as minhas façanhas.
High noon changed it's tune.	O filme Matar ou Morrer mudou seu tom.
Linking arms, syncing hearts.	Juntando braços, conectando corações.
And sorrow slow dances.	o sofrimento dança devagar.
Around the edges of her eyes.	Ao redor das bordas dos olhos dela.
Taking no chances.	Sem se arriscar.
The last one out, to win a prize.	O último a sair, para ganhar um prêmio.
Been watching cowboy films, on gloomy afternoons.	Estive assistindo filmes de cowboys, em tardes melancólicas.
Tinting the solitude.	Tingindo a solidão.
Put on your dancing shoes.	Coloque seus sapatos de dança.
And show me what to do..	E mostrar-me o que fazer..
I know you've got the moves.	Eu sei que você tem os movimentos.
Wooah.	Wooah.
Wooah.	Wooah.
Wooah.	Wooah.
Wooah.	Wooah.
Coz I'm from high green, I'm from high green.	Porque eu sou de High Green, eu sou do High Green!.
American Sports	Esportes Americanos
So when you gaze at planet earth from outer space.	Então quando você olha para o Planeta Terra do espaço sideral.
Does it wipe that stupid look off of your face?.	Isso tira esse olhar estúpido do seu rosto?.
I saw this aura over the battleground states.	Eu vi essa aura por cima dos campos de batalha.
I lost the money, lost the keys.	Eu perdi dinheiro, perdi as chaves.
But I'm still handcuffed to the briefcase.	Mas eu continuo algemado à maleta.
And I never thought, not in a million years.	E eu nunca imaginei, nem em um milhão de anos.
That I'd meet so many Lolas.	Que eu conheceria tantas Lolas.
Can I please have my money back?.	Posso por favor pegar meu dinheiro de volta?.
My virtual reality mask is stuck on Parliament Brawl.	Minha máscara de realidade virtual está presa na Briga no Parlamento.
Emergency battery pack just in time for my weekly chat with God on videocall.	Minha bateria de emergência a tempo para o meu bate-papo semanal com Deus em chamada de vídeo.
Breaking news they take the truth and make it and fluid.	Noticiários pegam a verdade e a deixam fluida.
The trainer's explanation was accepted by the steward.	A explicação do treinador foi aceita pelo mordomo.
A montage of the latest ancient ruins.	Uma montagem das mais recentes ruínas antigas.
Soundtracked by a chorus of you don't know what you're doing.	Com a trilha sonora de um coro de: Você não sabe o que está fazendo.
And I never thought, not in a million years.	E eu nunca imaginei, nem em um milhão de anos.
That I'd meet so many Lolas.	Que eu conheceria tantas Lolas.
And all of my most muscular regrets explode behind my eyes like.	E todos os meus maiores arrependimentos musculares explodem atrás dos meus olhos como.
American sports.	Esportes americanos.
And I never thought, not in a million years.	E eu nunca imaginei, nem em um milhão de anos.
That I'd meet so many Lolas.	Que eu conheceria tantas Lolas.
Anyways	Tanto Faz
Just another microcosm somewhere in the ether.	Apenas outro microcosmo em algum lugar no éter.
Putting a world to rights with Bing Crosby eyes.	Colocando um mundo em ordem com os olhos do Bing Crosby.
Oversharing and its bitter aftertaste.	O retrogosto amargo de se expor.
Exactly the wrong time in exactly the wrong place.	Exatamente o lugar errado na exata hora errada.
Save it for a rainy day.	Guarde isso para um dia chuvoso.
Baby, you go hard in the paint.	Querida, você dá tudo de si.
It's just another race to anyways.	É apenas mais uma corrida pro tanto faz.
Philanthropic toga party.	Festa de toga filantrópica.
What a place for both the opposite sides.	Que lugar para ambos os lados opostos.
Of my double life to finally collide.	Da minha vida dupla finalmente colidirem.
Sharing secrets I was taking to the grave.	Compartilhando segredos que eu estava levando para o túmulo.
Nosebleeds from epiphanies I took full in the face.	O nariz sangrando de epifanias que eu levei em cheio na cara.
Oh, come all by the fire, babe, let’s all participate.	Oh, venham todos para perto do fogo, querida, vamos todos participar.
In yet another race to anyways.	Em mais uma corrida pro tanto faz.
Oh, how's your Mum and Dad been doing.	Oh, como andam seus pais?.
With the generation gap?.	Com o conflito entre gerações?.
Yeah, I'm behind my movie camera.	Sim, estou atrás da minha filmadora.
I’ve got my megaphone.	Estou com meu megafone.
You can call me Alexander.	Vocês podem me chamar de Alexander.
It's nice to meet you all.	É bom conhecer todos vocês.
Listening to the Shipping Forecast.	Ouvindo a previsão do frete.
Driving to the airport.	Dirigindo para o aeroporto.
Me and the guys.	Eu e os caras.
Metropolis ablaze in the rear view.	Pelo retrovisor, as metrópoles em chamas.
Devising methods to both have and eat your cake.	Criando métodos para, ao mesmo tempo, ter e comer seu bolo.
Mmm, just like the ones that Mother Nature used to bake.	Mmm, assim como os que a mãe natureza costumava fazer.
You look as if you know exactly what I'm gonna say.	Você parece saber exatamente o que vou dizer.
Is just another race to.	É apenas mais uma corrida pro.
Anyways.	Tanto faz.
Arabella	Arabella
Arabella's got some interstellar-gator skin boots.	Arabella tem umas botas de pele de crocodilo Interestelar.
And a helter skelter around her little finger and I ride it endlessly.	E um tobogã ao redor de seu dedo mindinho e eu passeio interminavelmente.
She's got a Barbarella silver swimsuit.	Ela tem um maiô prata barbarella.
And when she needs to shelter from reality.	E quando ela precisa se proteger da realidade.
She takes a dip in my daydreams.	Ela mergulha em meus devaneios.
My days end best when this sunset gets itself behind.	Meus dias terminam melhor quando o pôr do sol fica atrás.
That little lady sitting on the passenger side.	Da senhorita sentada no lado do passageiro.
It's much less picturesque without her catching the light.	É muito menos pitoresco sem ela capturando a luz.
The horizon tries, but it's just not as kind on the eyes.	O horizonte tenta, mas não é tão gentil aos olhos.
As Arabella, oh.	Como Arabella, oh.
As Arabella.	Como Arabella.
Just might have tapped into your mind and soul.	Ela pode ter entrado na sua mente e alma.
You can't be sure.	Você não pode ter certeza.
Arabella's got a 70's head.	Arabella tem uma cabeça dos anos 70.
But she's a modern lover.	Mas ela é uma amante moderna.
It's an exploration, she's made of outer space.	É uma exploração, ela é feita do espaço exterior.
And her lips are like the galaxy's edge.	E os seus lábios são como a beira da galáxia.
And her kiss, the color of a constellation falling into place.	E seu beijo, a cor de uma constelação se encaixando.
My days end best when the sunset gets itself behind.	Meus dias terminam melhor quando o pôr do sol fica atrás.
That little lady sitting on the passenger side.	Da senhorita sentada no lado do passageiro.
It's much less picturesque without her catching the light.	É muito menos pitoresco sem ela capturando a luz.
The horizon tries, but it's just not as kind on the eyes.	O horizonte tenta, mas não é tão gentil nos olhos.
As Arabella, oh.	Como Arabella, oh.
As Arabella.	Como Arabella.
Just might've tapped into your mind and soul.	Ela pode ter entrado na sua mente e alma.
You can't be sure.	Você não pode ter certeza.
(That's magic) in a cheetah print coat.	(Isso é mágica) em um casaco com estampa de leopardo.
(Just a slip) underneath it I hope.	(Apenas um deslize) debaixo dele, eu espero.
(Asking if) I can have one of those.	(Perguntando se) eu posso ter um desses.
(Organic) cigarettes that she smokes.	(Orgânicos) cigarros que ela fuma.
(Rubs her lips) 'round a mexican coke.	(Esfrega seus lábios) em volta de uma coca-cola mexicana.
(Makes you wish) that you were the bottle.	(Faz você desejar) que você fosse a garrafa.
(Takes a sip) of your soul and it sounds like.	(Toma um gole) da sua alma e tem um som assim.
Just might have tapped into your mind and soul.	Ela pode ter entrado na sua mente e alma.
You can't be sure.	Você não pode ter certeza.
Baby I'm Yours	Baby, Eu Sou Seu
(Barbara Lewis cover).	(Cover da Barbara Lewis).
Baby, I'm yours (baby, I'm yours).	Baby, eu sou seu (baby, eu sou seu).
And I'll be yours (yours) until the stars fall from the sky,.	E eu serei seu até que as estrelas caiam do céu.
Yours (yours) until the rivers all run dry.	Seu (seu) até que os rios sequem.
In other words, until I die.	Em outras palavras, até eu morrer.
Baby, I'm yours (baby, I'm yours).	Baby, eu sou seu (baby, eu sou seu).
And I'll be yours (yours) until the sun no longer shines,.	E eu serei seu até que o Sol não brilhe mais.
Yours (yours) until the poets run out of rhyme.	Seu (seu) até que as rimas dos poetas se esgotem.
In other words, until the end of time.	Em outras palavras, até o fim dos tempos.
I'm gonna stay right here by your side,.	Eu vou ficar aqui ao seu lado.
Do my best to keep you satisfied.	Fazer o meu melhor para te manter satisfeita.
Nothin' in the world can drive me away.	Nada no mundo pode me afugentar.
Every day, you'll hear me say.	Pois todo dia, você vai me ouvir dizer.
Baby, I'm yours (baby, I'm yours).	Baby, eu sou seu (baby, eu sou seu).
And I'll be yours (yours) until two and two is three,.	E eu serei seu (seu) até quando dois mais dois for igual a tres.
Yours (yours) until the mountains crumble to the sea.	Seu (seu) até que as montanhas desmoronem no mar.
In other words, until eternity.	Em outras palavras, até a eternidade.
Baby, I'm yours.	Baby, eu sou seu.
'Til the stars fall from the sky,.	Até que as estrelas caiam do céu.
Baby, I'm yours.	Baby, eu sou seu.
'Til the rivers all run dry,.	Até que os rios sequem.
Baby, I'm yours.	Baby, eu sou seu.
'Til the sun no longer shines,.	Até que o Sol não brilhe mais.
Baby, I'm yours.	Baby, eu sou seu.
'Til the poets run out of rhyme,.	Até que as rimas dos poetas se esgotem.
(fade out).	(fade out).
Bad Woman	Mulher Má
When you left the house this evening.	Quando você deixou a casa esta noite.
You said you'd be back in a little while.	Você disse que voltaria em pouco tempo.
Well, I've been waiting for such a long time.	Bem, eu fiquei esperando por muito tempo.
And this wait is driving me wild.	E essa espera está me deixando louco.
And while I wait I think about you.	E pelo tempo que espero eu penso em você.
Do you need me when I'm not there?.	Você precisa de mim quando não estou aí?.
Are you planning to be without me?.	Você está planejando ficar sem mim?.
Do you have a new attract?.	Você tem um novo atrativo?.
You're a bad bad woman.	Você é uma mulher muito má.
You're a bad bad woman.	Você é uma mulher muito má.
If he is on you.	Se ele está a fim de você.
It keeps flashing through my mind.	Isso continua lampejando na minha mente.
If you would only call.	Se você só ligaria.
If you would be so kind.	Se você seria tão gentil.
Imagine things.	Imagino coisas.
I see another man.	Eu vejo outro homem.
And it's this waiting I just can't stand.	E é essa espera que eu não posso esperar.
You're a bad bad woman.	Você é uma mulher muito má.
You're a bad bad woman.	Você é uma mulher muito má.
You're a bad bad woman.	Você é uma mulher muito má.
You're a bad bad woman.	Você é uma mulher muito má.
Balaclava	Balaclava
Running off over the next door's garden.	Correndo para o jardim vizinho.
Before the hour is done.	Antes que a hora acabe.
It's more a question of feeling.	É mais uma questão de adrenalina.
Than it is a question of fun.	Que uma questão de diversão.
The confidence is the balaclava.	A confiança é a balaclava.
I'm sure you'll baffle 'em good.	Estou certo que você os confundirá bem.
Will the ending reek of salty cheeks.	Com o final de apenas o cheiro forte de.
And runny makeup alone.	Faces salgadas e maquiagem borrada.
Or will blood run down the face.	Ou sangue correrá do rosto.
Of a boy bewildered and scorned.	De um garoto aturdido e desprezado?.
And you'll find yourself in a skirmish.	E você vai se achar em um conflito.
Where you wish you'd never been born.	Onde desejará nunca ter nascido.
You tie yourself to the tracks.	Você se amarrará nos trilhos.
There isn't no going back.	Não tem mais volta.
It's wrong, wrong, wrong.	Isso é errado, errado, errado.
But we'll do it anyway cause we love a bit of trouble!.	Mas nós faremos de qualquer maneira porque adoramos um pouco de problema!.
Are you pulling her from a burning building.	Você vai tirar ela de um prédio em chamas.
Or throwing her to the sharks?.	Ou a lançá-la aos tubarões?.
Can only hope that the ending is.	Só pode esperar que o fim seja.
As pleasurable as the start.	Tão prazeroso quanto o começo.
The confidence is the balaclava.	A confiança é a balaclava.
I'm sure you baffle 'em straight.	Estou certo que você os confundirá bem.
It's wrong, wrong, wrong.	Isso é errado, errado, errado.
She can hardly wait.	Ela mal pode esperar.
That's right.	Está certo.
He won't let her out his sight.	Ele não deixará ela sair de vista.
Now the shaggers perform.	Agora que os galanteadores representaram.
And the daggers are drawn.	E as adagas são sacadas.
Who's the crooks in this crime?.	Quem são os bandidos nesse crime?.
That's right.	Está certo.
He won't let her out his sight.	Ele não deixará ela sair de vista.
Now the shaggers perform.	Agora que os galanteadores representaram.
And the daggers are drawn.	E as adagas são sacadas.
Who's the crooks in this crime?.	Quem são os bandidos nesse crime?.
That's right.	Está certo.
He won't let her out his sight.	Ele não deixará ela sair de vista.
That's right.	Está certo.
He won't let her out his sight.	Ele não deixará ela sair de vista.
That's right.	Está certo.
He won't let her out his sight.	Ele não deixará ela sair de vista.
You'll be able to boast.	Você poderá se vangloriar.
That today held the most.	Que hoje foi o dia do mais.
Flawless heist of all time.	Impecável roubo de todos os tempos.
You knew that it'd be trouble.	Você soube que seria problema.
Right before the very first kiss.	Antes mesmo do primeiro beijo.
Quiet and assuming but you.	Quieta e supondo mas você.
Heard that they were the naughtiest.	Ouviu que eles eram os mais safados.
She pleaded with you to take it off.	Ela implorou para você tirá-lo.
But you resisted and fought.	Mas você resistiu e lutou.
Sorry sweetheart, I'd much rather.	Desculpe-me querida, prefiro muito mais.
Keep on the balaclava.	Manter a máscara.
Batphone	Batfone
I want an interesting synonym to describe this thing.	Eu quero um sinônimo interessante para descrever essa coisa.
That you say we're all grandfathered in.	Que você diz que todos nós estamos protegidos.
I'll use the search engine.	Vou usar o mecanismo de busca.
(We've got much to discuss).	(Nós temos muito a discutir).
